week,spend,impressions,reach,clicks,landing_page_views,add_to_cart,initiate_checkout,purchases,revenue,frequency
1,1200,85000,62000,2100,1800,240,160,120,9600,1.37
2,1500,91000,64000,2300,1950,260,180,140,11200,1.42
3,900,60000,47000,1500,1300,160,110,80,6400,1.27
4,1800,110000,75000,2900,2500,350,240,190,15200,1.46
5,2000,125000,83000,3200,2700,380,260,210,16800,1.50
6,950,65000,52000,1600,1350,170,115,85,6800,1.25
7,1750,108000,76000,2800,2400,340,230,175,14000,1.42
8,2200,140000,91000,3600,3100,420,290,240,19200,1.54
9,1300,88000,67000,2150,1850,250,170,125,10000,1.31
10,1600,100000,72000,2500,2150,300,200,150,12000,1.39
